Company_Name,Company_Rating,Company_Review,Company_Type,Company_Head_Quarter,Company_Old,Company_Employees
Vedanta Resource...,3.9,(2.4k Reviews),Public,London + 52 more,47 years old,1k-5k Employees (India)
United Breweries,3.9,(610 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 71 more",166 years old,1k-5k Employees (India)
Indiabulls Ventu...,3.5,(525 Reviews),Public,"Mumbai,Maharashtra + 72 more",28 years old,1k-5k Employees (India)
Shriram General ...,3.7,(525 Reviews),Private,"Jaipur,Rajasthan + 129 more",15 years old,10k-50k Employees (India)
Everest Industri...,4.2,(523 Reviews),Public,"Noida,Uttar Pradesh + 58 more",89 years old,1k-5k Employees (India)
DAV Public Schoo...,4.1,(522 Reviews),Private,"Delhi/NCR,New Delhi + 117 more",137 years old,1 Lakh+ Employees (India)
Chetu,3.5,(522 Reviews),Private,"Plantation,Florida + 3 more",23 years old,1k-5k Employees (India)
KIMS Hospital,4.1,(520 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 31 more",11 years old,501-1k Employees (India)
CALIBEHR,3.9,(520 Reviews),Private,"Mumbai,Maharashtra + 84 more",44 years old,1k-5k Employees (India)
GVPR Engineers,4.2,(519 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 44 more",26 years old,501-1k Employees (India)
Ivrcl Infrastruc...,4.3,(519 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 49 more",36 years old,1k-5k Employees (India)
Allianz Technolo...,4.5,(519 Reviews),Munich + 8 more,133 years old,1k-5k Employees (India),
Air India,3.8,(908 Reviews),Private,"Delhi/NCR,New Delhi + 41 more",93 years old,10k-50k Employees (India)
Atlas Copco,4.3,(517 Reviews),Public,"Nacka Municipality,Stockholm + 43 more",150 years old,1k-5k Employees (India)
Troikaa Pharmace...,3.9,(516 Reviews),Private,"Ahmedabad,Gujarat + 56 more",40 years old,1k-5k Employees (India)
DuPont,4.2,(516 Reviews),Private,"Wilmington,Delaware Valley + 46 more",221 years old,1k-5k Employees (India)
Bharti Infratel,4.5,(516 Reviews),Public,"Gurgaon/Gurugram,Haryana + 63 more",17 years old,1k-5k Employees (India)
B. G. Shirke Con...,4.1,(516 Reviews),Private,"Pune,Maharashtra + 21 more",79 years old,1k-5k Employees (India)
Bajaj Housing Fi...,3.9,(515 Reviews),Private,"Pune,Maharashtra + 94 more",15 years old,1k-5k Employees (India)
Bridge & Roof Co,3.6,(515 Reviews),Central Public Sector Enterprises (CPSE),"Kolkata,West Bengal + 50 more",103 years old,1k-5k Employees (India)
Natco Pharma,4.0,(515 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 30 more",42 years old,1k-5k Employees (India)
Godfrey Phillips...,4.2,(515 Reviews),Public,"Delhi/NCR,New Delhi + 69 more",90 years old,1k-5k Employees (India)
GEP Worldwide,3.9,(515 Reviews),Private,"Clark,New Jersey + 5 more",24 years old,1k-5k Employees (India)
Birla Corporatio...,4.3,(872 Reviews),Public,"Kolkata,India + 89 more",104 years old,1k-5k Employees (India)
Hindustan Sanita...,4.1,(513 Reviews),Public,"Gurgaon/Gurugram,Haryana + 52 more",63 years old,1k-5k Employees (India)
Aristo Pharmaceu...,4.1,(513 Reviews),Private,"Mumbai,Maharashtra + 60 more",52 years old,1k-5k Employees (India)
NeoSOFT,3.3,(513 Reviews),Private,"Mumbai,Maharashtra + 12 more",27 years old,1k-5k Employees (India)
Trimax IT Infras...,3.4,(545 Reviews),Private,"Mumbai,Maharashtra + 65 more",28 years old,1k-5k Employees (India)
Medplus(optival ...,3.7,(512 Reviews),Private,Hyderabad + 47 more,17 years old,501-1k Employees (India)
Suzuki Motorcycl...,4.2,(6.7k Reviews),Private,Hamamatsu + 86 more,114 years old,1k-5k Employees (India)
Magna Infotech,3.4,(511 Reviews),Private,Bangalore + 37 more,26 years old,1k-5k Employees (India)
Karur Vysya Bank,3.6,(511 Reviews),Public,"Karur,Tamil Nadu + 95 more",107 years old,5k-10k Employees (India)
Pernod Ricard,3.8,(516 Reviews),Private,Paris + 79 more,48 years old,1k-5k Employees (India)
SFO Technologies,3.6,(510 Reviews),Private,"Kochi/Cochin,Kerala + 12 more",33 years old,1k-5k Employees (India)
Metropolis Healt...,4.1,(510 Reviews),Private,"Mumbai,Maharashtra + 66 more",43 years old,1k-5k Employees (India)
Crowne Plaza,4.2,(1.4k Reviews),Public,"Atlanta,Georgia + 27 more",40 years old,501-1k Employees (India)
Fusion Microfina...,4.1,(508 Reviews),Private,"Delhi,NCT + 142 more",13 years old,5k-10k Employees (India)
Varroc Polymers,3.9,(508 Reviews),Private,"Aurangabad,Maharashtra + 27 more",28 years old,201-500 Employees (India)
Fusion BPO Servi...,3.3,(507 Reviews),Private,"Draper,Utah + 12 more",19 years old,1k-5k Employees (India)
TEKsystems,3.8,(507 Reviews),Private,"Hanover,Maryland + 7 more",40 years old,1k-5k Employees (India)
IHS Markit,4.1,(506 Reviews),Private,London + 9 more,163 years old,1k-5k Employees (India)
Happiest Minds T...,4.1,(506 Reviews),Public,"Bangalore,Karnataka + 10 more",12 years old,1k-5k Employees (India)
Dassault Systeme...,4.1,(596 Reviews),Private,"Velizy-villacoublay,Yvelines + 7 more",42 years old,1k-5k Employees (India)
Uber,4.2,(573 Reviews),Public,"San Francisco,California + 39 more",14 years old,1k-5k Employees (India)
The Lalit,3.9,(505 Reviews),Private,New Delhi + 26 more,42 years old,1k-5k Employees (India)
Navayuga Enginee...,4.1,(504 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 48 more",124 years old,501-1k Employees (India)
JTEKT,4.1,(1k Reviews),Public,Osaka + 17 more,17 years old,501-1k Employees (India)
Star Cement,3.9,(500 Reviews),Public,"Kolkata,West Bengal + 37 more",22 years old,1k-5k Employees (India)
iMerit,4.0,(500 Reviews),Private,"Kolkata,West Bengal + 8 more",11 years old,1k-5k Employees (India)
GirnarSoft,3.7,(1.1k Reviews),Private,"Jaipur,Rajasthan + 38 more",16 years old,1k-5k Employees (India)
Samasta Microfin...,4.1,(499 Reviews),Public,"Bangalore,Karnataka + 163 more",15 years old,5k-10k Employees (India)
Sanden Vikas,3.8,(499 Reviews),Private,"Faridabad,Haryana + 16 more",41 years old,1k-5k Employees (India)
Morningstar,4.3,(499 Reviews),Private,"Chicago,Illinois + 10 more",39 years old,1k-5k Employees (India)
HPCL-Mittal Ener...,4.5,(498 Reviews),JV,"Noida,Uttar Pradesh + 18 more",16 years old,1k-5k Employees (India)
Musashi Auto Par...,3.9,(498 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",85 years old,1k-5k Employees (India)
Medusind Solutio...,4.0,(498 Reviews),Private,"Mumbai,Maharashtra + 6 more",21 years old,1k-5k Employees (India)
Flash Electronic...,3.6,(497 Reviews),Private,"Pune,Maharashtra + 13 more",34 years old,1k-5k Employees (India)
Otis Elevator,4.2,(497 Reviews),Private,"Farmington,Connecticut + 48 more",170 years old,1k-5k Employees (India)
Ageas Federal Li...,3.7,(497 Reviews),Private,"Mumbai,Maharashtra + 103 more",15 years old,501-1k Employees (India)
Greenko Group,3.9,(497 Reviews),Private,Hyderabad + 41 more,19 years old,1k-5k Employees (India)
ZF Steering Gear,3.7,(496 Reviews),Public,"Pune,Maharashtra + 13 more",108 years old,501-1k Employees (India)
Aarvi Encon,4.0,(496 Reviews),Public,"Mumbai,Maharashtra + 62 more",36 years old,1k-5k Employees (India)
Sundaram Clayto...,4.0,(496 Reviews),Public,"Chennai,Tamil Nadu + 18 more",61 years old,1k-5k Employees (India)
Godrej Agrovet,4.2,(495 Reviews),Mumbai + 85 more,1k-5k Employees (India),,
Hikal,4.0,(495 Reviews),Private,"Mumbai,Maharashtra + 12 more",35 years old,1k-5k Employees (India)
Ola Electric Mob...,3.1,(493 Reviews),Private,"Bangalore,Karnataka + 52 more",6 years old,1k-5k Employees (India)
